Date,WTI Spot Price ($ per barrel),WTI-Brent Price Spread ($),WTI Crack Spread,Brent Crack Spread,"OECD Petroleum Production, Annual, million barrels per day","OPEC Petroleum Production, Annual, million barrels per day","Rest of World Petroleum Production, Annual, million barrels per day","OECD Petroleum (Crude Oil) Consumption, Annual, million barrels per day","Non-OECD Petroleum (Crude Oil) Consumption, Annual, million barrels per day","China Import, Millions of tons",Kilian Global Economic Index,FEDFUNDS,U.S. ISM PMI Index,Henry Hub Natural Gas Spot Price Dollars per Million Btu,U.S. Total Crude Oil Inventory (Millions Barrels),U.S. Non-SPR Crude Oil Inventory (Millions Barrels),U.S. SPR Crude Oil Inventory (Millions Barrels),US Tight Oil Production (Millions of Barrels per day),Real Dollar Index,Closing Price: Gold ($ per ounce),Real GDP - Seasonally Adjusted (Billions of $),PPI by Commodity: Intermediate Demand by Commodity Type: Processed Energy Goods
2013-10-18,101.51,-8.599999999999994,15.373443545550515,6.77344354555053,24.046957194829048,36.029833482846946,33.11000513575433,46.455572995082434,47.344464126798464,26.27230769230769,19.5972842067818,0.08565442488730841,56.33587301587302,3.79,1046.688,350.719,695.969,3.371963924761432,79.18000030517578,1352.4000244140625,16657.44786019162,213.3578448605169
2013-10-25,97.57,-10.25,18.611191559816632,8.361191559816632,24.0640446898922,36.03509952335394,33.116818284625275,46.46381820882633,47.3722119482432,26.356923076923078,22.262595178908192,0.08655626950604936,56.4,3.69,1050.775,354.806,695.969,3.3790236503175946,80.7300033569336,1313.0999755859375,16667.344306061263,213.58435791731347
2013-11-01,96.94,-10.670000000000002,18.64361079867291,7.973610798672913,24.081180998967074,36.04036774289535,33.123618435372734,46.47209982861666,47.39993610619795,26.441538461538464,24.682440359078917,0.0874161736690201,56.4,3.55,1051.964,355.995,695.969,3.3870341084282902,81.20999908447266,1284.5,16677.12526635042,213.8164094273569
2013-11-08,94.31,-10.230000000000004,20.780701262119408,10.550701262119409,24.09836591256863,36.04563805762049,33.13040483302015,46.48041676899879,47.42763644943856,26.526153846153846,26.742160839283724,0.0882123180880606,56.5565728021978,3.47,1054.604,358.635,695.969,3.3965540680307624,80.83999633789062,1287.300048828125,16686.674028473983,214.05399939064725
2013-11-15,93.94,-13.159999999999997,20.762462950156078,7.602462950156091,24.115599221211838,36.050910383678655,33.13717672259094,46.48876794451807,47.45531282674086,26.610769230769233,28.327097711512337,0.08892288347501076,56.841098901098896,3.62,1054.979,359.01,695.969,3.4081422980622573,80.70999908447266,1244.0,16695.87387984684,214.29712780718455
2013-11-22,93.92,-15.399999999999991,20.498895862782962,5.0988958627829675,24.13288071541165,36.05618463721918,33.143933349108536,46.497152269719834,47.482965086880725,26.695384615384615,29.322592067754513,0.08952605054171058,57.130075549450545,3.68,1057.932,361.963,695.969,3.4223575674600175,80.68000030517578,1250.5999755859375,16704.60810788388,214.54579467696882
2013-11-29,92.97,-18.349999999999994,21.27000000000002,2.920000000000016,24.150210185683015,36.06146073439136,33.150673957596446,46.50556865914945,47.51059307863396,26.78,29.613985,0.09,57.3,3.87,1052.347,356.378,695.969,3.4397586451612896,80.2699966430664,1230.300048828125,16712.76,214.8
2013-12-06,96.21,-16.070000000000007,17.95577536180724,1.885775361807229,24.167587422540894,36.066738591344524,33.157397793078076,46.514016027352255,47.538196650776406,26.645384615384618,29.224476080595768,0.09040284951433222,57.3,3.94,1041.343,345.374,695.969,3.4594664151415953,80.20999908447266,1235.699951171875,16720.397690962596,215.05974377627814
2013-12-13,97.23,-11.86999999999999,16.96622194820465,5.096221948204668,24.185012216500255,36.072018124227974,33.16410410057684,46.5224932888736,47.56577565208392,26.51076923076923,28.280175254079236,0.09080703043026869,57.21221801877539,4.31,1038.402,342.433,695.969,3.480179838852384,80.58000183105469,1205.0999755859375,16727.685219286253,215.32502600580324
2013-12-20,97.85,-12.490000000000009,16.48133975919228,3.9913397591922717,24.202484358076056,36.077299249191036,33.17079212511621,46.53099935825884,47.593329931332356,26.376153846153848,26.820789170725796,0.09121219398131172,57.10392321703797,4.25,1033.671,337.702,695.969,3.5018248014447875,80.38999938964844,1216.0999755859375,16734.64972800658,215.59584668857525
2013-12-27,99.15,-12.569999999999993,15.421128794770047,2.8511287947700716,24.220003637783247,36.082581882383,33.17746111171964,46.53953315005332,47.620859337297546,26.24153846153846,24.886024480810825,0.0916179914009636,57.0,4.45,1026.664,330.695,695.969,3.524327188069938,80.79000091552734,1238.4000244140625,16741.31836015922,215.87220582459418
2014-01-03,96.47,-12.260000000000005,18.44558905493807,6.185589054938059,24.237569846136783,36.087865939953204,33.184110305410556,46.548093578802394,47.648363718755306,26.106923076923078,22.515587834609722,0.09202407392272666,57.0,4.36,1022.706,326.737,695.969,3.547612883878968,80.66000366210938,1246.699951171875,16747.71825877979,216.15410341386007
2014-01-10,92.42,-14.590000000000003,22.944720539696238,8.354720539696226,24.25518277365163,36.09315133805095,33.19073895121238,46.5566795590514,47.6758429244815,25.972307692307695,19.749185882397867,0.09243009278010315,56.139025063051704,4.31,1015.048,319.079,695.969,3.5716077740230094,81.26000213623047,1251.699951171875,16753.876566903928,216.4415394563729
2014-01-17,92.98,-14.849999999999994,22.93852324904456,8.088523249044556,24.27284221084275,36.098437992825545,33.1973462941486,46.5652900053457,47.70329680325198,25.837692307692308,16.62652527445065,0.0928356992065954,54.32250945775536,4.39,1016.038,320.069,695.969,3.596237743653195,80.45999908447266,1264.5,16759.820427567247,216.73451395213266
2014-01-24,96.19,-12.950000000000003,20.386997182983123,7.436997182983116,24.290547948225104,36.103725820426305,33.20393157924263,46.57392383223065,47.73072520384258,25.703076923076924,13.18731266104346,0.0932405444357057,52.41973912358134,5.08,1022.459,326.49,695.969,3.621428677920657,81.2699966430664,1240.0999755859375,16765.576983805382,217.0330269011394
2014-01-31,97.29,-11.539999999999992,20.050142341511844,8.510142341511843,24.308299776313632,36.10901473700255,33.21049405151791,46.58257995425158,47.75812797502911,25.56846153846154,9.47125469245168,0.09364427970093633,51.3,5.29,1022.899,326.93,695.969,3.6471064619765277,80.69000244140625,1263.300048828125,16771.173378653955,217.337078303393
2014-02-07,97.78,-9.950000000000003,20.42795872463078,10.47795872463079,24.326097485623304,36.114304658703595,33.217032955997894,46.59125728595384,47.78550496558745,25.433846153846154,5.5180580189507,0.09404655623578966,51.3,6.35,1025.952,329.983,695.969,3.6731969809719383,80.12999725341797,1319.0,16776.636755148604,217.64666815889365
2014-02-14,100.21,-8.91000000000001,18.97044633233988,10.060446332339874,24.343940866669087,36.119595501678745,33.22354753770601,46.5999547418828,47.81285602429343,25.29923076923077,1.3674292908159025,0.09444702527376792,51.95814339981007,6.55,1026.925,330.956,695.969,3.699626120058023,80.23999786376953,1323.9000244140625,16781.994256324946,217.96179646764114
