Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
4/28/17,3.09
4/21/17,3.1
4/14/17,3.05
4/7/17,3.18
3/31/17,3.03
3/24/17,2.99
3/17/17,2.96
3/10/17,2.75
3/3/17,2.52
2/24/17,2.62
2/17/17,2.87
2/10/17,3.04
2/3/17,3.12
1/27/17,3.27
1/20/17,3.29
1/13/17,3.27
1/6/17,3.47
12/30/16,3.69
12/23/16,3.51
12/16/16,3.57
12/9/16,3.69
12/2/16,3.21
11/25/16,2.76
11/18/16,2.44
11/11/16,2.22
11/4/16,2.5
10/28/16,2.72
10/21/16,3.14
10/14/16,3.17
10/7/16,2.91
9/30/16,3.01
9/23/16,3.11
9/16/16,3.02
9/9/16,2.87
9/2/16,2.94
8/26/16,2.82
8/19/16,2.73
8/12/16,2.77
8/5/16,2.88
7/29/16,2.85
7/22/16,2.79
7/15/16,2.81
7/8/16,2.82
7/1/16,2.89
6/24/16,2.75
6/17/16,2.59
6/10/16,2.36
6/3/16,2.15
5/27/16,1.84
5/20/16,1.89
5/13/16,2
5/6/16,1.96
4/29/16,1.92
4/22/16,1.91
4/15/16,1.9
4/8/16,1.96
4/1/16,1.86
3/25/16,1.79
3/18/16,1.79
3/11/16,1.64
3/4/16,1.57
2/26/16,1.82
2/19/16,1.94
2/12/16,2.16
2/5/16,2.11
1/29/16,2.22
1/22/16,2.2
1/15/16,2.32
1/8/16,2.38
1/1/16,2.27
12/25/15,1.68
12/18/15,1.72
12/11/15,1.96
12/4/15,2.13
11/27/15,2.15
11/20/15,2.09
11/13/15,2.11
11/6/15,2.02
10/30/15,2.12
10/23/15,2.38
10/16/15,2.48
10/9/15,2.38
10/2/15,2.49
9/25/15,2.61
9/18/15,2.7
9/11/15,2.7
9/4/15,2.69
8/28/15,2.69
8/21/15,2.75
8/14/15,2.88
8/7/15,2.8
7/31/15,2.87
7/24/15,2.88
7/17/15,2.89
7/10/15,2.75
7/3/15,2.79
6/26/15,2.8
6/19/15,2.9
6/12/15,2.78
6/5/15,2.65
5/29/15,2.8
5/22/15,2.99
5/15/15,2.88
5/8/15,2.75
5/1/15,2.57
4/24/15,2.6
4/17/15,2.61
4/10/15,2.67
4/3/15,2.64
3/27/15,2.79
3/20/15,2.8
3/13/15,2.76
3/6/15,3.04
2/27/15,3.13
2/20/15,2.9
2/13/15,2.75
2/6/15,2.72
1/30/15,2.91
1/23/15,2.95
1/16/15,3.08
1/9/15,3.03
1/2/15,3.09
12/26/14,2.94
12/19/14,3.69
12/12/14,3.66
12/5/14,3.75
11/28/14,4.16
11/21/14,4.34
11/14/14,4.16
11/7/14,3.83
10/31/14,3.65
10/24/14,3.63
10/17/14,3.82
10/10/14,3.87
10/3/14,4.02
9/26/14,3.88
9/19/14,3.95
9/12/14,3.91
9/5/14,3.93
8/29/14,4.01
8/22/14,3.85
8/15/14,3.9
8/8/14,3.92
8/1/14,3.79
7/25/14,3.84
7/18/14,4.11
7/11/14,4.19
7/4/14,4.41
6/27/14,4.52
6/20/14,4.66
6/13/14,4.61
6/6/14,4.61
5/30/14,4.52
5/23/14,4.52
5/16/14,4.46
5/9/14,4.74
5/2/14,4.76
4/25/14,4.8
4/18/14,4.65
4/11/14,4.63
4/4/14,4.45
3/28/14,4.46
3/21/14,4.43
3/14/14,4.58
3/7/14,6.24
2/28/14,5.1
2/21/14,6
2/14/14,6.55
2/7/14,6.35
1/31/14,5.29
1/24/14,5.08
1/17/14,4.39
1/10/14,4.31
1/3/14,4.36
12/27/13,4.45
12/20/13,4.25
12/13/13,4.31
12/6/13,3.94
11/29/13,3.87
11/22/13,3.68
11/15/13,3.62
11/8/13,3.47
11/1/13,3.55
10/25/13,3.69
10/18/13,3.79
10/11/13,3.7
10/4/13,3.56
9/27/13,3.55
9/20/13,3.71
9/13/13,3.61
9/6/13,3.64
8/30/13,3.55
8/23/13,3.49
8/16/13,3.35
8/9/13,3.32
8/2/13,3.45
7/26/13,3.67
7/19/13,3.69
7/12/13,3.66
7/5/13,3.54
6/28/13,3.72
6/21/13,3.87
6/14/13,3.77
6/7/13,3.94
5/31/13,4.12
5/24/13,4.14
5/17/13,3.95
5/10/13,3.89
5/3/13,4.23
4/26/13,4.24
4/19/13,4.25
4/12/13,4.13
4/5/13,3.99
3/29/13,4.05
3/22/13,3.99
3/15/13,3.74
3/8/13,3.57
3/1/13,3.48
2/22/13,3.28
2/15/13,3.26
2/8/13,3.33
2/1/13,3.26
1/25/13,3.54
1/18/13,3.44
1/11/13,3.18
1/4/13,3.28
12/28/12,3.34
12/21/12,3.3
12/14/12,3.3
12/7/12,3.41
11/30/12,3.66
11/23/12,3.61
11/16/12,3.54
11/9/12,3.4
11/2/12,3.44
10/26/12,3.41
10/19/12,3.31
10/12/12,3.26
10/5/12,3.22
9/28/12,2.93
9/21/12,2.76
9/14/12,2.88
9/7/12,2.82
8/31/12,2.72
8/24/12,2.79
8/17/12,2.77
8/10/12,2.92
8/3/12,3.12
7/27/12,3.13
7/20/12,2.92
7/13/12,2.82
7/6/12,2.84
6/29/12,2.76
6/22/12,2.52
6/15/12,2.24
6/8/12,2.33
6/1/12,2.37
5/25/12,2.59
5/18/12,2.49
5/11/12,2.33
5/4/12,2.26
4/27/12,2
4/20/12,1.86
4/13/12,1.93
4/6/12,1.97
3/30/12,2.06
3/23/12,2.16
3/16/12,2.11
3/9/12,2.26
3/2/12,2.45
2/24/12,2.63
2/17/12,2.52
2/10/12,2.51
2/3/12,2.45
1/27/12,2.57
1/20/12,2.4
1/13/12,2.81
1/6/12,2.92
12/30/11,3.04
12/23/11,3.04
12/16/11,3.08
12/9/11,3.39
12/2/11,3.37
11/25/11,2.92
11/18/11,3.1
11/11/11,3.42
11/4/11,3.47
10/28/11,3.62
10/21/11,3.62
10/14/11,3.48
10/7/11,3.53
9/30/11,3.81
9/23/11,3.77
9/16/11,3.95
9/9/11,3.96
9/2/11,4.01
8/26/11,4.01
8/19/11,4.01
8/12/11,4.08
8/5/11,4.21
7/29/11,4.4
7/22/11,4.58
7/15/11,4.41
7/8/11,4.3
7/1/11,4.32
6/24/11,4.33
6/17/11,4.56
6/10/11,4.83
6/3/11,4.65
5/27/11,4.35
5/20/11,4.15
5/13/11,4.18
5/6/11,4.5
4/29/11,4.39
4/22/11,4.27
4/15/11,4.12
4/8/11,4.15
4/1/11,4.3
3/25/11,4.12
3/18/11,3.88
3/11/11,3.8
3/4/11,3.82
2/25/11,3.84
2/18/11,3.9
2/11/11,4.17
2/4/11,4.51
1/28/11,4.45
1/21/11,4.57
1/14/11,4.46
1/7/11,4.52
12/31/10,4.16
12/24/10,4.09
12/17/10,4.26
12/10/10,4.46
12/3/10,4.2
11/26/10,3.9
11/19/10,3.73
11/12/10,3.7
11/5/10,3.39
10/29/10,3.31
10/22/10,3.37
10/15/10,3.49
10/8/10,3.52
10/1/10,3.79
9/24/10,4.01
9/17/10,4.01
9/10/10,3.8
9/3/10,3.76
8/27/10,3.96
8/20/10,4.3
8/13/10,4.42
8/6/10,4.8
7/30/10,4.75
7/23/10,4.64
7/16/10,4.48
7/9/10,4.65
7/2/10,4.66
6/25/10,4.93
6/18/10,5.1
6/11/10,4.73
6/4/10,4.44
5/28/10,4.18
5/21/10,4.26
5/14/10,4.19
5/7/10,3.94
4/30/10,4.16
4/23/10,3.99
4/16/10,4.06
4/9/10,4
4/2/10,3.82
3/26/10,4.01
3/19/10,4.23
3/12/10,4.45
3/5/10,4.74
2/26/10,4.87
2/19/10,5.41
2/12/10,5.55
2/5/10,5.47
1/29/10,5.47
1/22/10,5.56
1/15/10,5.68
1/8/10,6.56
1/1/10,5.88
